"Position ID","Predicted Move","Correct Moves","Correctness","Piece","Tag"
"13","f1,g1,d2,e1,f2,e2,e7,d4,c4,e8,b1,b2,e3,c2,B,c5,K,a4,h2,N,c3,f3,e5,a3,d3,c6,g8","f1","true","Ke1","KingUncommonOpening"
"14","e1,e8,f1,f5,e7,f4,f8,f6,f2,f3,h5,h3,d7,h4,,d2,g4,f7,Q,d1,0-1,c2,e5,B,e6,","e1","true","K","KingUncommonOpening"
"15","e2,h2,f2,e7,f4,e1,f3,d2,d4,g4,f1,d7,g3,b7,e3,c2,a2,e5,h5,g2,c3,h4,c4,b2,e8,f5,d3","e2","true","Ke1","KingUncommonOpening"
"16","e1,e8,f1,f3,f4,g4,f5,e3,e2,e5,g5,g1,f8,f6,h5,d8,e7,f2,,d3,c2,d7,0-1,e6,d1,h4","e1","true","K","KingUncommonOpening"
"17","e2,f3,b2,f4,d4,d2,f2,c2,d3,c4,d7,e4,d1,c3,e7,e1,a2,h2,e8,h4,g2,f1,c6,P,f5,g4,g5","e2","true","Ke1","KingUncommonOpening"
"18","c1,c2,c8,e1,h2,b6,a2,c7,b2,b1,h7,f1,b8,B,g1,a4,e7,b4,e2,P,d2,Q,f2,g4,,g7,f4","c1","true","K","KingLategame"
"19","d2,c2,b1,d1,b2,d3,b3,c3,c7,e2,c8,e1,a1,e3,h6,c1,a3,e8,g5,d7,d8,K,c6,f4,b4,P,f2","d2,c2,d1,b1","true","Kc1","KingLategame"
"20","h1,h2,f2,h7,h8,f1,0-1,a1,g2,c7,c2,g3,g4,g6,1-0,b1,h3,a8,a2,d1,e1,K,f3,h4,d7,1/2-1/2,c6","h1","true","K","KingLategame"
"21","g2,g1,h2,g3,f3,h3,c2,h1,b7,a1,c1,a2,b1,g8,h7,h8,e1,h6,g7,d5,e2,e4,b8,f1,a8,b6,h4","g2,g1","true","Kh1","KingLategame"
"22","e2,b7,g3,g2,c2,e1,d7,c3,f4,e8,c8,c7,f2,d1,B,b5,N,P,e4,b3,c4,R,e3,d5,a7,f5,e7","e2","true","K","KingLategame"
"23","d2,f1,d1,f3,d3,e1,f2,g2,e2,c2,h2,c4,e6,b2,c6,a2,e4,d7,f5,e8,c5,c7,a6,h5,c1,e5,g4","d2,f1,e1,d1","false","Ke2","KingLategame"
"24","g1,f1,a1,h1,h2,e1,d4,c4,g8,c6,,e2,a4,d5,a7,d1,1-0,f3,a8,d6,e3,h4,g3,g2,c1,f6,R","g1","true","K","KingOneLegalMove"
"25","h1,f1,h2,f3,g2,f2,b1,h8,g1,g3,h3,e1,a1,c1,a8,P,g4,c8,g5,b8,f8,h4,h7,a7,e4,c5,f4","h1","true","Kg1","KingOneLegalMove"
"26","b5,b6,c8,h5,b7,d5,b3,b8,c5,e2,e8,d7,c4,0-1,g4,a8,c7,f5,a6,a5,K,c3,f7,b1,a7,c6,B","b5","true","K","KingChecks"
"27","a4,b4,c4,b6,c3,d7,a3,d3,a5,e2,e8,d5,d2,c8,a6,c2,b2,c1,e7,h5,c5,f4,a2,f1,f5,f3,e1","b6,a4","false","Kb5","KingChecks"
"28","f1,h1,f3,0-1,f8,e1,d1,1/2-1/2,1-0,h3,b1,K,h4,f5,a6,c8,,d8,c4,B,d3,c5,Q,g1,,e8","f1","true","K","KingChecks"
"29","g1,e1,e2,g2,f2,g3,f1,c1,e7,c2,b5,h1,h3,g7,e8,f8,f4,P,c3,f3,N,g4,d2,g8,d1,K,e3","g1,e1","true","Kf1","KingChecks"
"30","c1,c2,e3,c3,d1,h2,0-1,a3,b2,a1,h6,f4,,c5,f3,h7,N,c8,K,c7,B,f2,e1,1/2-1/2,b8,a5,","c1","true","K","KingChecks"
"31","c2,b1,d1,d3,g1,d2,a1,e1,N,c8,b2,g8,e8,c7,c6,h8,f1,a2,,h7,f7,R,B,d8,P,h1,b8","c2,b1","true","Kc1","KingChecks"
"32","f1,h1,f8,c4,f2,g1,b4,0-1,a6,h4,d1,f5,e1,h3,1-0,,d3,K,a5,f4,c5,B,1/2-1/2,c8,c6,Q","f1","true","K","KingChecks"
"33","e1,e2,g1,g2,f3,c2,c1,h3,h1,e7,g3,e8,f2,b5,f7,c7,f4,P,c8,c3,d8,f6,N,f1,b1,e3,g4","e1","true","Kf1","KingChecks"
"34","f1,e1,a6,0-1,f5,h1,f8,b4,K,a5,c5,d3,e3,f4,f2,e7,h4,B,1-0,e2,,e8,f6,c4,1/2-1/2,Q","f1","true","K","KingChecks"
"35","g2,e1,g1,e2,c1,c2,d1,h1,d2,Q,0-1,d3,d5,b7,f4,e7,e5,c7,e3,h3,c4,c8,e6,,e4,f2,P","g2","true","Kf1","KingChecks"
"36","e1,d2,c1,f8,e7,e8,d7,d3,g1,c5,c2,a1,f5,f2,d8,d6,a3,f4,b6,h5,e5,b3,f3,b4,,e2,d1","e1","true","K","KingCastle"
"37","c1,d1,b1,e2,c2,c8,f3,d2,e7,e1,f2,a1,h2,d7,b2,e4,g3,c6,g2,h3,e6,,f5,h4,f1,g7,e3","d1,c1","true","Ke1","KingCastle"
"38","e1,f3,e8,e3,f6,f4,f1,e2,f5,f8,d7,e7,c2,g1,g3,h5,f7,d3,f2,d2,d8,b4,d1,h4,g4,d6,B","e1","true","K","KingCastle"
"39","g1,f1,d2,e2,g8,f2,e1,c3,b1,c2,d1,d4,N,h2,a4,e7,e8,b3,B,f8,f4,e4,K,b5,c1,g4,P","f1,g1","true","Ke1","KingCastle"
"40","c3,d4,a4,a2,c5,f3,c4,d1,b3,a3,e7,e1,g5,d5,c6,Q,a1,f4,b6,h2,b5,d2,e6,g8,N,h7,R","c3","true","Q","Queen"
"41","b2,c1,a5,c5,c2,c4,a3,e3,a1,b4,b1,d1,c3,e5,e1,b3,d2,a4,c7,c8,g7,g3,b5,d4,h3,N,f6","b4,c2,b2,c1","false","Qc3","Queen"
"42","d8,g5,e8,d1,d5,c8,a8,b8,g1,h8,e1,d2,h5,g8,e7,b5,a5,f8,f2,h1,c2,h2,,c1,g4,e3,P","d8","true","Q","QueenAsBlack"
"43","d6,d7,f6,a5,c7,c8,b6,d8,e8,e6,c5,f5,b8,c6,d3,d5,d4,g8,d2,f8,a3,P,g6,b4,h5,K,f3","d7,d6","true","Qd8","QueenAsBlack"
"44","d5,b7,c4,c5,b5,d7,c7,Q,e6,d6,c3,b3,d3,b8,a4,b6,B,c2,h5,a5,e8,e5,a6,R,K,1-0,g3","d5","true","Q","QueenAsBlack"
"45","g2,b5,e5,g5,d8,d6,b4,c6,d2,f5,d1,d3,h5,a2,h1,a5,c5,e4,b6,d7,d4,e6,b2,g6,b3,g8,h4","d6,c6,h5,g5,f5,e5,c5,b5,a5,e4,d4,c4,f3,d3,b3,g2,d2,a2","false","Qd5","QueenAsBlack"
"46","d2,c2,f5,g1,h5,f2,d3,h1,e2,d5,f8,h3,d6,b2,b4,h4,Q,P,1-0,,c7,c1,a3,f1,b3,a2,g3","d2","true","Q","QueenUncommonOpening"
"47","g5,c3,a5,d1,e3,b4,f4,h6,c5,e2,c2,e1,h2,c1,d5,g3,c4,a2,b2,f2,d3,b3,a3,f3,a4,e5,d7","g5,a5,f4,b4,e3,c3,d1","true","Qd2","QueenUncommonOpening"
"48","d1,d8,d2,f5,h1,f1,h5,c2,Q,h4,f2,,h3,h6,e7,B,d7,1-0,g7,P,f4,1/2-1/2,e1,d6,,h7,c8","d1","true","Q","QueenUncommonOpening"
"49","f3,e2,g4,h5,b3,c1,a4,b1,d1,d7,c2,d5,g3,e3,e1,c3,f4,d3,,f5,h4,Q,h3,e7,d2,P,g5","h5,g4,f3,e2","true","Qd1","QueenUncommonOpening"
"50","d1,d8,g4,f1,h4,g5,e3,e7,e1,g1,c2,Q,h7,c1,,B,d7,K,h6,d2,f4,P,a5,a8,c7,b5","d1","true","Q","QueenUncommonOpening"
"51","f3,e2,h5,d3,b3,g4,f5,e1,d4,h3,a4,d1,g3,d7,c1,b1,h4,c3,f4,d2,d5,g2,c2,f6,d6,a3,f2","f3,e2","true","Qd1","QueenUncommonOpening"
"52","b7,c7,d7,a7,e8,e2,e7,b1,d8,e6,g7,c3,c4,h7,d1,g8,g2,b8,f4,d2,c2,b4,h2,B,f1,g1,P","b7","true","Q","QueenCanPromote"
"53","b8,c8,a8,d8,h8,b6,c6,b1,g2,g8,g1,b3,K,d5,Q,b4,c5,N,P,a1,c7,a6,b2,f3,a7,B,h1","b8","true","Qb7","QueenCanPromote"
"54","b7,e4,d8,a7,c6,h5,b5,c7,b3,a8,b2,d2,d6,b4,f7,e6,a4,d1,c8,d5,a2,f1,e1,c3,g8,e8,b1","b7,e4","true","Q","TwoQueensOfOnePlayer"
"55","b8,c6,a7,c8,b5,b6,b4,a6,c7,e4,a8,b2,b3,g7,d6,f3,g2,h7,b1,d7,f7,a4,d8,e7,b7,a1,d5","c8,b8,a8,g7,f7,e7,d7,c7,a7,b6,a6,b5,b4","false","Qb7","TwoQueensOfOnePlayer"
"56","b8,e8,h8,c8,c7,d7,b1,b5,a8,e7,h2,f3,d1,g1,a7,b2,d8,a5,e1,g7,a1,d4,g8,g4,Q,a4,R","b8","true","Q","PawnToQueenPromoted"
"57","b6,f8,h8,g8,d6,d8,b7,c8,e8,b3,a8,f4,e5,c7,b5,g3,h2,b2,a7,b4,h7,g7,c6,e7,b1,b8,g5","d8,c8,a8,c7,b7,a7,d6,b6","false","Qb8","PawnToQueenPromoted"
"58","c3,d5,d2,h4,c5,h7,c4,f4,d6,g5,a7,d4,a2,Q,c7,a4,g1,g8,h2,a3,b7,R,h6,e6,e2,d1,e5","c3","true","Q","ManyQueenMoves"
"59","d4,b3,g3,a3,g7,b4,e3,h3,d3,c2,f3,a5,f6,d2,b2,c7,c4,c1,e5,b6,h8,a1,c3,f4,e1,g2,g5","g7,f6,e5,a5,d4,b4,h3,g3,f3,e3,d3,b3,a3,c2,c1","false","Qc3","ManyQueenMoves"
"60","d1,d8,b4,1/2-1/2,e3,f3,a4,Q,h6,h5,0-1,b2,a7,f1,a5,c2,b5,a2,B,b7,,c1,h4,h8,,h1,e7","d1","true","Q","QueenNeedsToBlock"
"61","e2,c2,c1,e1,b3,a4,d8,d3,d2,b5,d4,d7,d6,b1,d5,f3,g4,c7,g1,h5,a1,c3,d1,e8,g7,g2,c6","d3,e2","false","Qd1","QueenNeedsToBlock"
"62","d2,c2,e6,a5,d6,e7,e4,b3,Q,b2,d1,d5,d7,f3,a2,1/2-1/2,h4,e5,0-1,1-0,c7,c3,g5,d4,N,b1,K","d2","true","Q","QueenIsPinned"
"63","b4,c3,d1,f4,c2,d3,g5,e3,a5,c1,b2,h5,d8,e2,f2,a2,b3,g2,e1,d5,h6,f5,d7,a4,e5,d2,d6","b4,c3","true","Qd2","QueenIsPinned"
"64","c2,c7,f3,d2,a2,b2,b3,h7,d1,g7,d5,b5,h6,e6,1/2-1/2,c5,b7,d8,d7,g4,h5,,e3,b6,a5,Q,f7","c2","true","Q","QueenOnlyDiagonalMove"
"65","e4,d3,b3,a4,b1,h7,d1,f5,c4,d4,g6,h5,c7,g7,c1,b2,f7,d2,e6,c8,c3,f2,g8,f4,c5,c2,g4","h7,g6,f5,e4,a4,d3,b3,d1,b1","false","Qc2","QueenOnlyDiagonalMove"
"66","d3,c6,e1,d4,d1,g4,h5,e4,h3,a4,c1,c3,d2,Q,e6,c5,f5,c2,d7,g3,f2,b2,h6,b5,0-1,d8,b6","d3","true","Q","QueenCanOnlyCapture"
"67","e2,c2,h3,e4,e3,b5,f5,g3,b1,d5,f3,Q,f1,h7,g6,d4,b3,d1,c4,a3,d2,c3,d6,f6,B,d7,g1","e2","true","Qd3","QueenCanOnlyCapture"
"68","b2,a2,c4,d2,h2,c2,e2,e4,h3,h4,h5,a3,f3,f2,f5,g2,g4,c6,e6,g6,b3,g3,g5,h6,a4,d5,a5","b2,a2","true","P","Pawn"
"69","b3,b4,c3,a3,a2,b5,b1,c2,d3,b7,b8,d4,b6,c1,g4,e6,f6,g2,g3,h8,f2,c5,h2,h3,a4,g7,e5","b3,b4","true","Pb2","Pawn"
"70","e5,f3,b2,h2,a2,c2,h4,e3,b1,b3,g2,b4,f2,a3,g4,e6,g7,d2,a7,e4,g8,e2,B,h5,f1,d7,a4","e5,f3,h2,c2,b2,a2","true","P","Pawn"
"71","f6,e6,d6,e4,g6,b8,a6,c6,e8,b6,e5,c7,f5,,a1,d4,a5,c5,h7,d7,b1,f4,b7,c3,N,a8,","f6,e6","true","Pe5","Pawn"
"72","f2,h2,c5,c4,g3,d2,c2,a2,d5,e5,b2,a4,a3,c6,e3,a5,g4,g7,c3,h3,b3,d8,b5,f4,h7,d7,f6","c5,h2,f2,c2,a2","false","P","Pawn"
"73","c6,b6,e6,d7,f8,b7,d6,g6,a6,c4,f2,g8,f1,g1,d8,e7,f7,c8,e8,a7,N,R,h3,c2,Q,,d2","c6","true","Pc5","Pawn"
"74","d5,g5,c7,f7,e7,h7,a7,b7,g7,e5,b5,e3,g4,a5,b6,a6,h5,e4,P,g2,d7,g8,h2,c3,e2,d3,g1","d5,h7,f7,e7,c7,b7,a7,g5","true","P","PawnAsBlack"
"75","c4,d4,e4,f3,c5,d6,d2,b3,h1,e6,g2,e5,f4,b4,g8,c6,e2,d3,d7,a2,P,N,b1,h5,b7,e7,f6","c4,d4","true","Pd5","PawnAsBlack"
"76","c7,a7,e6,f7,h7,g7,b7,a6,d5,f6,c2,b6,d7,e7,d3,e5,f4,B,c5,f3,h5,b5,c3,c4,a2,a5,a8","h7,g7,f7,c7,b7,a7,e6","true","P","PawnAsBlack"
"77","h5,h6,g7,b4,d2,h4,c2,g6,f6,g5,d3,g8,b6,h8,f5,,e1,a6,a5,c5,h3,f3,e3,e7,b1,B,e4","h6,h5","true","Ph7","PawnAsBlack"
"78","e2,b2,c2,h3,g2,f2,a2,d3,h5,d2,a3,h2,h4,a4,f5,d5,f4,b3,b5,e3,h6,g8,b4,e7,g7,d7,e6","h3,d3,g2,f2,e2,c2,b2,a2","true","P","PawnUncommonOpening"
"79","h4,h2,h3,g2,a3,g5,g4,a4,d4,g3,h1,b4,c4,a2,P,a5,h6,c5,d3,Q,f2,h5,,R,b2,N,d7","h4","true","Ph3","PawnUncommonOpening"
"80","c2,d2,f2,g2,h2,b3,e4,e2,a2,c4,d3,c1,h4,a4,d5,g4,e1,b4,c6,h3,b1,e3,g3,a3,f4,c7,g5","b3,h2,g2,f2,d2,c2","true","P","PawnUncommonOpening"
"81","b4,b2,d4,a4,c2,a2,b8,c5,g4,a1,a3,b7,a5,b1,h4,g8,a7,c4,d1,P,d2,c1,g7,e5,e6,c7,h1","b4","true","Pb3","PawnUncommonOpening"
"82","d2,g2,a2,c2,f2,b2,h3,f5,e2,c4,g3,h6,h2,c5,a6,e4,e5,h5,a3,g7,g6,b4,b5,,d1,b1,f1","f5,h3,g2,f2,d2,c2,b2,a2","true","P","PawnUncommonOpening"
"83","f6,e6,g7,d7,e7,e5,g6,f4,d3,h7,Q,f5,d6,b7,K,h6,P,N,B,f3,,,a7,c2,f7,d4,b1","f6","true","Pf5","PawnUncommonOpening"
"84","d2,h2,c2,b2,g4,a2,f2,e3,g2,e2,f4,a4,g5,d3,f3,e5,f1,b3,a3,g1,P,d4,,e1,b4,e7,g7","g4,e3,h2,f2,d2,c2,b2,a2","true","P","PawnUncommonOpening"
"85","g5,f5,h5,g1,g3,e5,g6,f6,f3,h4,f4,h3,g7,a5,c7,e2,,d7,g8,e7,K,e6,h2,h7,P,b7,b1","g5","true","Pg4","PawnUncommonOpening"
"86","b5,f4,g3,h2,b2,e4,b6,c2,a2,e2,d2,f6,f3,a7,g6,a4,g5,b3,a5,d3,c8,f7,c5,c4,a3,h4,e5","b5,f4,g3,h2,b2","true","P","PawnLategame"
"87","b6,a6,b4,c6,c7,b8,d3,h6,e8,c3,f6,c5,e7,h7,g7,b3,d7,f1,h8,g1,a7,d6,h5,f8,a4,b2,a5","a6,b6","true","Pb5","PawnLategame"
"88","c4,a2,g4,h2,c5,b2,a3,a4,e5,c6,f5,c2,b3,h6,d5,c8,f4,b5,f3,h3,g3,b4,a1,a7,f2,g6,e6","g4,c4,a2","true","P","PawnLategame"
"89","g5,a5,c7,g3,e5,g1,g7,e7,h5,f6,f7,e3,a1,g8,h8,h4,K,b5,a7,h7,f2,b8,d8,d1,g6,d7,a8","g5","true","Pg4","PawnLategame"
"90","h2,f3,g2,f4,b5,d3,c3,a3,b4,a4,a7,c2,g1,b2,b3,c6,c4,d4,c5,g6,b7,a1,g5,e4,b8,h1,d5","h2","true","P","OnlyOneOfManyPawnCanMove"
"91","g3,h3,h4,g1,f4,h1,f2,e5,g4,h6,e2,d2,c3,d6,g2,N,h5,b2,e1,f6,g7,h8,R,h7,b3,c2,b8","g3,h3,h4","true","Ph2","OnlyOneOfManyPawnCanMove"
"92","g7,h7,d6,e4,f4,b3,a5,b4,h6,e7,g2,a6,d8,h5,h2,f6,d5,d2,a7,g4,c5,f7,g5,c7,g8,a1,h4","h7,g7","true","P","OnlyFiewPawnsLeft"
"93","h5,h6,g7,g6,g8,e7,f5,f6,d3,h8,e1,b5,a6,h4,a7,g5,b6,e8,b7,d7,d2,h3,d1,a4,b1,a5,c5","h6,h5","true","Ph7","OnlyFiewPawnsLeft"
"94","h2,a3,d3,f4,b4,c3,d4,b3,c4,a4,d6,a6,a7,b6,e3,h1,c7,g1,b5,g5,c6,g4,d5,a5,e5,f2,h4","h2","true","P","PawnCanCapture"
"95","g3,h3,h4,g1,f2,b2,f4,h1,e5,g2,e1,c2,c3,d2,b4,N,g4,d4,c1,e2,h6,d6,a3,b5,a2,c4,d1","g3","true","Ph2","PawnCanCapture"
"96","h2,d3,a3,c3,a4,c4,b3,f4,d4,f2,c2,a5,c7,h3,b6,a2,g2,g5,h4,e5,h6,a6,d5,B,b2,b8,d2","h2","true","P","OnlyOnePawnLeft"
"97","h4,h3,f4,g2,h5,h1,g1,h6,d6,b4,e5,b5,b2,a4,g3,b3,g4,f3,e1,h7,f2,d2,a3,c1,f6,b6,e2","h3,h4","true","Ph2","OnlyOnePawnLeft"
"98","e2,f2,d2,b3,a2,g3,h4,c2,d4,b2,c3,h2,d3,f1,c4,h3,f4,d6,b5,B,c1,g2,f3,f8,b4,a5,g1","b3,f2,e2,d2,a2","true","P","PawnCanOnlyMoveOneSquareFromStartPosition"
"99","b4,c5,e4,c2,d5,g4,g8,a4,b2,b8,d4,b7,c4,a2,0-1,e6,a1,h4,d2,,a5,K,P,N,b1,d8,Q","b4","true","Pb3","PawnCanOnlyMoveOneSquareFromStartPosition"
"100","d2,f5,g3,e2,d3,a4,b3,f3,h4,c2,c4,f2,h3,a3,c3,b2,d5,B,h2,d6,b5,h6,a1,b4,a2,g2,e5","e2,d2","false","P","PawnCanOnlyMoveOneSquareFromStartPosition"
"101","e3,e4,g4,f2,b5,d3,g2,f1,d2,d1,g8,e1,c4,0-1,,c8,h5,e7,e8,c2,c3,h2,a2,f3,f8,a3,a5","e3","true","Pe2","PawnCanOnlyMoveOneSquareFromStartPosition"
"102","e2,h2,c3,g2,a2,c2,e3,b2,c1,e5,f2,c5,d4,h4,b3,P,a3,e1,b4,f4,d1,d6,N,h7,Q,a5,","e2","true","P","PawnHasToCapture(Check)"
"103","d3,e3,e4,e1,c2,f1,N,d4,g2,0-1,e7,d1,g1,,c4,e6,a6,h5,e5,b5,b2,a2,f4,d2,e8,,f3","d3","true","Pe2","PawnHasToCapture(Check)"
"104","f1,f4,c1,f8,c8,d1,d2,g2,d7,b3,f7,c3,h7,d3,f2,B,d5,b6,g4,a2,e7,a3,h4,c4,f6,g7,f5","f1","true","B","Bishop"
"105","e2,h3,c4,c2,d3,b5,f3,g1,g2,f5,e1,h5,f1,d1,a6,d2,f2,h1,e4,g3,b1,c1,a2,c6,g6,e3,a4","e2","true","Bf1","Bishop"
"106","c8,f8,g5,e7,d5,d8,b8,g8,B,h8,f7,f1,e8,b7,b2,h7,g6,c7,c5,a8,e3,c1,g4,a5,b5,c2,g3","f8,c8","true","B","BishopAsBlack"
"107","g7,h6,b4,d6,c5,f6,a3,e7,a1,h5,b2,g6,e6,f4,d7,h7,g4,a6,e4,h8,a7,e5,f7,g8,c6,,b7","g7,h6","true","Bf8","BishopAsBlack"
"108","d7,d5,b7,c1,g7,c7,b8,c2,c5,c3,b4,f8,b3,d3,e7,d4,c4,g8,b5,b6,a4,e8,g3,h5,g4,f1,g1","d7","true","B","BishopAsBlack"
"109","b5,a4,c6,c8,e8,f5,g4,b4,e7,d8,e2,d6,c2,b6,b3,d7,d5,a6,e6,h3,d1,g8,b1,g2,a3,h5,g6","c8,c6,b5,a4","true","Bd7","BishopAsBlack"
"110","d4,f1,g1,c1,b2,b6,h2,a1,c8,b5,a7,c2,a4,d2,d3,e4,g7,e1,h8,h5,h7,a3,g3,g2,a2,e2,a5","d4","true","B","BishopLategame"
"111","e3,f6,c5,c3,e5,b6,g7,a7,f2,h8,b2,a1,g1,f8,c7,b8,d8,d4,e1,d3,h6,g8,f7,b4,d2,c1,a6","h8,g7,a7,f6,b6,e5,c5,e3,c3,f2,g1","false","Bd4","BishopLategame"
"112","f1,g3,d1,c8,c5,c1,f2,f3,f8,c2,a5,f4,h1,f5,h6,d2,b1,g5,a6,g4,d5,b4,d7,h2,d4,f7,b2","f1","true","B","BishopLategame"
"113","g2,d3,h3,e2,b5,c4,f3,a6,d1,d5,h2,c2,g1,b1,c1,b7,e4,f5,f7,f1,e1,f2,d2,h1,g3,a2,","h3,d3,g2,e2","true","Bf1","BishopLategame"
"114","f4,e8,b7,c4,c7,g4,d7,e6,d1,e7,d8,g1,e1,e2,g5,d5,b8,g7,b1,c1,d3,a8,h6,h1,h5,b4,c2","e8,f4,b7","true","B","BishopLategame"
"115","h5,c6,a4,f7,b5,d7,g6,f3,d8,e8,b3,h7,d5,a8,f6,g4,d6,h8,b7,c4,c8,g7,e4,g8,a2,a6,c2","f7,g6,h5","false","Be8","BishopLategame"
"116","c1,e2,c2,f2,g2,e4,b3,a1,g1,b1,g4,B,a2,e7,e1,c8,c4,f1,f4,a7,h7,d7,g8,d1,e8,h1,a3","e2,c1","true","B","BishopUncommonOpening"
"117","f3,h5,c4,g4,d3,b5,f1,d1,a6,d7,e2,e3,b7,e1,d5,h3,g3,c6,a4,N,f7,f5,,c2,Q,P,a5","a6,h5,b5,g4,c4,f3,d3,f1","false","Be2","BishopUncommonOpening"
"118","f1,d1,f8,d2,c1,h1,c2,g1,h3,a2,d8,c8,b5,f5,f2,c4,b2,e7,d7,c5,g8,B,g2,,d6,,h7","f1","true","B","BishopUncommonOpening"
"119","d3,b5,e2,c4,a6,g2,f3,b3,b7,c3,d7,e3,f1,c2,e7,d5,P,h2,Q,,a4,g4,g1,N,K,d4,g7","a6,b5,c4,d3,e2","true","Bf1","BishopUncommonOpening"
"120","f1,g4,c1,f8,d1,e7,g1,d2,c8,b2,e1,b5,e3,h1,c2,a2,h2,a8,c5,B,b8,f4,a3,g5,b1,a5,","f1","true","B","BishopUncommonOpening"
"121","a6,g2,e2,c4,d3,h3,b5,N,h1,f3,P,g1,f5,f4,K,c3,h6,h5,f1,b7,R,a4,f2,b1,,d4,e6","a6,b5,c4,h3,d3,g2,e2","true","Bf1","BishopUncommonOpening"
"122","g4,e2,d2,e3,f3,e1,f1,c2,e8,c5,a7,f5,g2,b4,c1,e4,f2,h3,c7,c4,a4,e7,g3,d8,h2,b2,B","g4","true","B","OneBishopOfOnePlayer"
"123","f3,e2,e6,d7,h3,f5,d1,c8,h5,d3,e4,b7,f1,g5,d5,g2,g3,e8,e3,g6,b3,c2,a4,a8,g7,b1,g8","c8,d7,e6,h5,f5,h3,f3,e2,d1","true","Bg4","OneBishopOfOnePlayer"
"124","e2,c1,d2,g1,b2,g2,c2,e7,a2,a7,c8,d7,f4,b7,B,f2,e1,d4,b4,b3,e3,f8,f1,b6,c4,a1,g7","e2","true","B","OneBishopOfOnePlayer"
"125","f3,g4,c4,h5,d3,b5,f1,a6,d1,f7,e4,c2,a4,b3,e1,b7,d5,d7,f4,e2,g3,h3,b1,c3,c1,g2,e6","a6,h5,b5,g4,c4,f3,d3","false","Be2","OneBishopOfOnePlayer"
"126","e3,d3,c1,f3,b6,e7,e5,b4,d6,b2,g8,h2,g7,d5,h6,c8,h5,h3,f1,g4,f7,g2,h4,a3,f5,d7,g3","e3,d3","true","B","TwoBishopsOfOnePlayer"
"127","c5,d2,g5,f4,d4,c1,h6,b6,g1,g7,f6,e2,a7,f2,e4,B,d3,b2,g2,a3,c2,f3,f5,h4,g4,c7,h3","h6,g5,c5,f4,d4,d2,c1","true","Be3","TwoBishopsOfOnePlayer"
"128","f1,e3,h5,c1,f8,f5,h1,h3,e5,c8,c4,f3,c2,B,a5,c6,b5,a4,f6,g5,a3,e7,d1,g3,g6,g1,b7","e3,f1","true","B","TwoBishopsOfOnePlayer"
"129","f4,d4,a7,g5,d2,b6,c1,g1,h6,c5,d6,b2,f2,g7,f3,e3,h4,a3,d3,e1,e4,e2,b7,g4,f8,c7,c3","h6,g5,f4,d4,d2,c1","false","Be3","TwoBishopsOfOnePlayer"
