"Game String","Moves Until Error","Error Type","First Illegal Move","Predicted Tokens"
"Pc2c4- Nb8a6- Pb2b3- Na6c5- Nb1c3- Nc5a6- Pg2g4- Pd7d5- Bf1g2- Ng8f6- Pg4g5- Nf6g8- Ph2h4- Pe7e6- Ng1f3- Ng8e7- Nf3d4- Pc7c5- Pe2e3- Na6c5- Nd4b5- Pd5d4- Nc3b5- Ne7a6- Nb5d4x Pc5d4x Pe3d4x Pc5d4x Pb3b4- Qd8a5+ Pa2a4- Qa5a4x Pd2d3- Qa4d1$ Qd1d2- Bc8d7- Pf2f4- Bd7b5- Nd4b5x Bf8b4+ Bc1b2- Bb4d2$ Bb2d2x Bb5d3x Ra1d1- Bd3e2- Bd2c3- Na6b4- Ke1c1- Nb4a2+ Kc1b2- Na2c3x Rd1d3- Nc3e2+ Kb2a2x Qd1e2+ Ka2a3- Qe2d1- Qf3d1x Pe6e5- Pg5g6- Qd1h1x Rd3d4- Ph7h6- Pf4e5x Ph6h5- Rd4b4- Pb7b6- Rb4b6x Pa7b6x Rb4b3- Ke8g8- Rb3b6x Ra8b8- Rb6b8x Be2e3- Rb8b2- Be3d4- Rb2b8+ Kg8h7-","19","path obstruction","Pc2c4- Nb8a6- Pb2b3- Na6c5- Nb1c3- Nc5a6- Pg2g4- Pd7d5- Bf1g2- Ng8f6- Pg4g5- Nf6g8- Ph2h4- Pe7e6- Ng1f3- Ng8e7- Nf3d4- Pc7c5- Pe2e3- Na6c5-","75 6 24 26 76 5 22 12 76 6 16 17 76 5 12 27 76 5 15 25 76 5 27 12 76 6 56 58 76 6 37 35 76 4 47 56 76 5 62 52 76 6 58 59 76 5 52 62 76 6 64 66 76 6 45 44 76 5 55 49 76 5 62 45 76 5 49 34 76 6 29 27 76 6 40 41 76 5 12 27 76 5 34 19 76 6 35 34 76 5 25 19 76 5 45 12 76 5 19 34 81 6 27 34 81 6 41 34 81 6 27 34 81 6 17 18 76 2 38 11 77 6 8 10 76 2 11 10 81 6 32 33 76 2 10 31 79 2 31 32 76 4 30 37 76 6 48 50 76 4 37 19 76 5 34 19 81 4 54 18 77 4 23 16 76 4 18 32 79 4 16 32 81 4 19 33 81 3 7 31 76 4 33 40 76 4 32 25 76 5 12 18 76 1 39 23 76 5 18 8 77 1 23 16 76 5 8 25 81 3 31 33 76 5 25 40 77 1 16 8 81 2 31 40 77 1 8 9 76 2 40 31 76 2 49 31 81 6 44 43 76 6 59 60 76 2 31 63 81 3 33 34 76 6 69 68 76 6 50 43 81 6 68 67 76 3 34 18 76 6 21 20 76 3 18 20 81 6 13 20 81 3 18 17 76 1 46 62 76 3 17 20 81 3 14 22 76 3 20 22 81 4 40 41 76 3 22 16 76 4 41 34 76 3 16 22 77 1 62 69 76"
"Pd2d4- Pf7f5- Pd4d5- Pe7e5- Pe2e3- Pd7d5- Nb1c3- Bf8d6- Pc2c3- Pd5d4- Pc3d4x Nb8c6- Ng1f3- Ng8f6- Pd4e5x Bd6e5x Pe3e4- Bc8e6- Pd4e5x Nf6d7- Pe5e6x Qd8e7- Bc1g5- Be6f7- Bf1b5- Nc6a5- Bb5d7$ Qe7d7x Bg5d8- Bf7g6- Bd8c7x Ra8c8- Ke1g1- Rc8c7x Pe4f5- Rc7c2- Ra1e1- Rc2d2- Re1e3- Rd2d6- Re3b3- Ke8g8- Qd1d2- Pb7b6- Rb3a3- Kg8h8- Pf5g6x Ph7g6x Rf1e1- Rf8f6- Re3e2- Rd6e6- Ph2h4- Rf6h6- Nf3e5- Pb6b5- Ne5d7x Rh6h5- Nd7c5- Rh5f5- Nc5e4- Rf5e5- Ne4g3- Re6e2x Ra3d3- Re2f2x Kg1f2x Na5c4- Nc3e4- Bg6e4x Pf2f3- Be4d3x Kf2e3- Rh5h4x Re1h1- Rh4h1x Pb2b3- Rh1h2+ Ke3f3- Rh2g2x","5","path obstruction","Pd2d4- Pf7f5- Pd4d5- Pe7e5- Pe2e3- Pd7d5-","75 6 32 34 76 6 53 51 76 6 34 35 76 6 45 43 76 6 40 41 76 6 37 35 76 5 15 25 76 4 54 36 76 6 24 25 76 6 35 34 76 6 25 34 81 5 22 28 76 5 55 49 76 5 62 52 76 6 34 43 81 4 36 43 81 6 41 42 76 4 30 44 76 6 34 43 81 5 52 37 76 6 43 44 81 2 38 45 76 4 23 59 76 4 44 53 76 4 47 19 76 5 28 11 76 4 19 37 79 2 45 37 81 4 59 38 76 4 53 60 76 4 38 29 81 3 14 30 76 1 39 55 76 3 30 29 81 6 42 51 76 3 29 24 76 3 7 39 76 3 24 32 76 3 39 41 76 3 32 36 76 3 41 17 76 1 46 62 76 2 31 32 76 6 21 20 76 3 17 9 76 1 62 70 76 6 51 60 81 6 69 60 81 3 47 39 76 3 54 52 76 3 41 40 76 3 36 44 76 6 64 66 76 3 52 68 76 5 49 43 76 6 20 19 76 5 43 37 81 3 68 67 76 5 37 27 76 3 67 51 76 5 27 42 76 3 51 43 76 5 42 57 76 3 44 40 81 3 9 33 76 3 40 48 81 1 55 48 81 5 11 26 76 5 25 42 76 4 60 42 81 6 48 49 76 4 42 33 81 1 48 41 76 3 67 66 81 3 39 63 76 3 66 63 81 6 16 17 76 3 63 64 77 1 41 49 76 3 64 56 81"
"Pd2d3- Pd7d6- Pc2c3- Qd8d7- Qd1a4- Pa7a6- Pb2b4- Pc7c6- Pg2g3- Bc8g4- Pf2f3- Ng8f6- Bf1g2- Nb8a6- Ng1h3- Na6c7- Bc1a3- Qd7d8- Ke1g1- Pb7b5- Pb4b5x Pa6b5x Pc3c4- Bg4f5- Ba3f8x Nf6d5- Nb1c3- Nd5c3x Pe2e4- Nc3b5x Bf8e7x Nb5d4- Bg2a8x Qd8a8x Qa4a8x Pe7e6- Qa8c6$ Qa8c6x Ba8d5- Qc6d5x Qc6d5x Nd4e2+ Qd5f5x Pg7g6- Qf5g5- Bf5c2- Qg5g7- Ph7h6- Qg7g6$ Ke8d7- Qg6c2x Ne2c3- Qc2e4+ Kd7c6- Qe4e6$ Kc6d5- Qe6e5$ Kd5c6- Qe5b5$ Kc6b5x Qb5b8+ Kb5b4- Qb8a7- Bc2c8- Qa7d4- Bc8b7- Qd4d2+ Kd5e6- Qd2d3+ Ke6d5- Qd3d4+ Kd5e6- Ra1c1+ Ke6d6- Qd4f4+ Kd6e7- Qf4e3+ Ke7d7- Qf4c4+ Kd7c7-","9","path obstruction","Pd2d3- Pd7d6- Pc2c3- Qd8d7- Qd1a4- Pa7a6- Pb2b4- Pc7c6- Pg2g3- Bc8g4-","75 6 32 33 76 6 37 36 76 6 24 25 76 2 38 37 76 2 31 10 76 6 13 12 76 6 16 18 76 6 29 28 76 6 56 57 76 4 30 58 76 6 48 49 76 5 62 52 76 4 47 56 76 5 22 12 76 5 55 65 76 5 12 29 76 4 23 9 76 2 37 38 76 1 39 55 76 6 21 19 76 6 18 19 81 6 12 19 81 6 25 26 76 4 58 51 76 4 9 54 81 5 52 35 76 5 15 25 76 5 35 25 81 6 40 42 76 5 25 19 81 4 54 45 81 5 19 34 76 4 56 14 81 2 38 14 81 2 10 14 81 6 45 44 76 2 14 28 79 2 14 28 81 4 14 35 76 2 28 35 81 2 28 35 81 5 34 40 77 2 35 51 81 6 61 60 76 2 51 59 76 4 51 24 76 2 59 61 76 6 69 68 76 2 61 60 79 1 46 37 76 2 60 24 81 5 40 25 76 2 24 42 77 1 37 28 76 2 42 44 79 1 28 35 76 2 44 43 79 1 35 28 76 2 43 19 79 1 28 19 81 2 19 22 77 1 19 18 76 2 22 13 76 4 24 30 76 2 13 34 76 4 30 21 76 2 34 32 77 1 35 44 76 2 32 33 77 1 44 35 76 2 33 34 77 1 35 44 76 3 7 23 77 1 44 36 76 2 34 50 77 1 36 45 76 2 50 41 77 1 45 37 76 2 50 26 77 1 37 29 76"
"Pb2b4x Ke1d2x Pe2e4- Kd2e3- Ke1d2- Kd2e1- Ke1d2- Ke1f2x Kd2e1- Kf2e1- Ke1d2- Kd2e3- Ke1f2- Kf2e1- Kd2c3- Pd7d6- Kc3c4- Kd6c5- Pc2c3- Kc4c5- Kc5b5- Kb5a4- Ka4b4x Ka4b4x Kb4a4- Ka4b4- Kb4c5- Kc5b4- Kb4a4- Ka4b5- Ka4b4- Kb5a4- Ka4b4- Ka4b5- Ka4a3- Ka3a4- Ka4b4- Ka4b4- Kb4b3- Ka4b4- Kb4a5- Kb5c6- Ka5b4- Ph2h4- Kb4c3- Ph4h3- Kc3d3- Kb4c5- Kc5d6- Kd6e5- Kc5d6- Kd6d5- Kd6e6- Ke6f7x Kf7f8- Ph3h2- Kf8e8- Kf7f8x Kf8f7- Nb1c3- Qd8f6+ Kf8e8x Kf7g8- Qh2h1- Kg8h8x Qh1h2- Kg8h8x Bc8e6- Kh8g8- Be6d7x Pf2g1- Bd7f5- Pg2g3- Bf5d7- Pg3g4- Bd7a4- Kg8h7x Qh2d6x Kh7h6- Nc3d5-","0","piece logic","Pb2b4x","75 6 16 18 81 1 39 32 81 6 40 42 76 1 32 41 76 1 39 32 76 1 32 39 76 1 39 32 76 1 39 48 81 1 32 39 76 1 48 39 76 1 39 32 76 1 32 41 76 1 39 48 76 1 48 39 76 1 32 25 76 6 37 36 76 1 25 26 76 1 36 27 76 6 24 25 76 1 26 27 76 1 27 19 76 1 19 10 76 1 10 18 81 1 10 18 81 1 18 10 76 1 10 18 76 1 18 27 76 1 27 18 76 1 18 10 76 1 10 19 76 1 10 18 76 1 19 10 76 1 10 18 76 1 10 19 76 1 10 9 76 1 9 10 76 1 10 18 76 1 10 18 76 1 18 17 76 1 10 18 76 1 18 11 76 1 19 28 76 1 11 18 76 6 64 66 76 1 18 25 76 6 66 65 76 1 25 33 76 1 18 27 76 1 27 36 76 1 36 43 76 1 27 36 76 1 36 35 76 1 36 44 76 1 44 53 81 1 53 54 76 6 65 64 76 1 54 46 76 1 53 54 81 1 54 53 76 5 15 25 76 2 38 52 77 1 54 46 81 1 53 62 76 2 64 63 76 1 62 70 81 2 63 64 76 1 62 70 81 4 30 44 76 1 70 62 76 4 44 37 81 6 48 55 76 4 37 51 76 6 56 57 76 4 51 37 76 6 57 58 76 4 37 10 76 1 62 69 81 2 64 36 81 1 69 68 76 5 25 35 76"
"Pc2c4- Nb8a6- Pd2d4- Pg7g6- Pe2e3- Pd7d6- Ph2h4- Bc8g4- Pf2f3- Bg4h5- Pg2g4- Bh5g6- Ph4h5- Pf7f5- Pf3f4- Pf5g4x Pf3g4x Ph7h5x Pg4h5x Pg6h5x Bc1d2- Bf8h6- Pd4d5- Pe7e6- Bd2h6x Ng8h6x Pd5e6x Nh6g4- Bf1h3- Ng4f6- Ph5h6x Pb7b6- Bh3e6x Nf6g4- Ng1f3- Na6c5- Qd1d3- Qd8g5- Nf3g5x Qg5g2- Bh3g2x Bh6g5- Qd3h7- Ng4h6- Qh7h8+ Ke8e7- Qh8h5- Ra8h8- Qh5f7+ Ke7f6- Nb1a3- Rh8h7- Qf7g7+ Kf6g7x Qg7h8+ Kg7f7- Ph6h7- Nc5e4- Qh7h8+ Kf7e7- Qh8e5+ Ke7d7- Qe5h8- Rh7f7- Qh8e5+ Kd7c8- Na3b5- Qg2h2- Qe5f5- Pa7a6- Qf5h3+ Na6b8- Qh3h4- Rf7f6- Qh4g4- Qh2h1+ Ke1d2- Rf6f7- Qg4g7+ Kc8d8-","11","path obstruction","Pc2c4- Nb8a6- Pd2d4- Pg7g6- Pe2e3- Pd7d6- Ph2h4- Bc8g4- Pf2f3- Bg4h5- Pg2g4- Bh5g6-","75 6 24 26 76 5 22 12 76 6 32 34 76 6 61 60 76 6 40 41 76 6 37 36 76 6 64 66 76 4 30 58 76 6 48 49 76 4 58 67 76 6 56 58 76 4 67 60 76 6 66 67 76 6 53 51 76 6 49 50 76 6 51 58 81 6 49 58 81 6 69 67 81 6 58 67 81 6 60 67 81 4 23 32 76 4 54 68 76 6 34 35 76 6 45 44 76 4 32 68 81 5 62 68 81 6 35 44 81 5 68 58 76 4 47 65 76 5 58 52 76 6 67 68 81 6 21 20 76 4 65 44 81 5 52 58 76 5 55 49 76 5 12 27 76 2 31 33 76 2 38 59 76 5 49 59 81 2 59 56 76 4 65 56 81 4 68 59 76 2 33 69 76 5 58 68 76 2 69 70 77 1 46 45 76 2 70 67 76 3 14 70 76 2 67 53 77 1 45 52 76 5 15 9 76 3 70 69 76 2 53 61 77 1 52 61 81 2 61 70 77 1 61 53 76 6 68 69 76 5 27 42 76 2 69 70 77 1 53 45 76 2 70 43 77 1 45 37 76 2 43 70 76 3 69 53 76 2 70 43 77 1 37 30 76 5 9 19 76 2 56 64 76 2 43 51 76 6 13 12 76 2 51 65 77 5 12 22 76 2 65 66 76 3 53 52 76 2 66 58 76 2 64 63 77 1 39 32 76 3 52 53 76 2 58 61 77 1 30 38 76"
"Pb2b3- Pb7b6- Bc1b2- Bc8b7- Nb1c3- Pg7g5- Pg2g4- Pg5g4x Pe2e3- Ph7h5- Ng1f3- Nb8c6- Nf3e5- Nc6e5x Pf2f4- Pd7d6- Pf4e5x Bb7g2- Pd2d4- Bg2c6- Ne5c6x Pd6e5- Pf4e5x Ph5h4- Pe3e4- Bf8g7- Ph2h3- Pg4h3x Pe5f6x Ph3h2- Nc3e2- Bg7f6x Bf1h3- Bf6a1x Rh1h2x Ng8f6- Qd1b1- Ke8g8- Rh2f2- Rf8e8- Bh3g2- Re8f8- Pe4e5- Rf8e8- Pc2c4- Re8e2$ Ke1e2x Qd8e8+ Pa2a3- Ra8d8+ Ke2f1- Nf6d5- Bb2c1- Nd5b4- Nc3e4- Nb4d3- Ne4g3- Nd3c1x Ng3e4- Nc1d3- Bc1e3- Nc1b3x Be3c1- Qe8e4$ Kf1g1- Re2b2- Ne4c3- Nb3c1+ Kg1h2- Nc1d3- Nc3e4- Nd3c1- Ne4g5- Nc1d3- Ng5f3- Nd3f4- Nf3e1- Nf4h3+ Kh2g3- Nh3g5$","7","path obstruction","Pb2b3- Pb7b6- Bc1b2- Bc8b7- Nb1c3- Pg7g5- Pg2g4- Pg5g4x","75 6 16 17 76 6 21 20 76 4 23 16 76 4 30 21 76 5 15 25 76 6 61 59 76 6 56 58 76 6 59 58 81 6 40 41 76 6 69 67 76 5 55 49 76 5 22 28 76 5 49 43 76 5 28 43 81 6 48 50 76 6 37 36 76 6 50 43 81 4 21 56 76 6 32 34 76 4 56 28 76 5 43 28 81 6 36 43 76 6 50 43 81 6 67 66 76 6 41 42 76 4 54 61 76 6 64 65 76 6 58 65 81 6 43 52 81 6 65 64 76 5 25 40 76 4 61 52 81 4 47 65 76 4 52 7 81 3 63 64 81 5 62 52 76 2 31 15 76 1 46 62 76 3 64 48 76 3 54 46 76 4 65 56 76 3 46 54 76 6 42 43 76 3 54 46 76 6 24 26 76 3 46 40 79 1 39 40 81 2 38 46 77 6 8 9 76 3 14 38 77 1 40 47 76 5 52 35 76 4 16 23 76 5 35 18 76 5 25 42 76 5 18 33 76 5 42 57 76 5 33 23 81 5 57 42 76 5 23 33 76 4 23 41 76 5 23 17 81 4 41 23 76 2 46 42 79 1 47 55 76 3 40 16 76 5 42 25 76 5 17 23 77 1 55 64 76 5 23 33 76 5 25 42 76 5 33 23 76 5 42 59 76 5 23 33 76 5 59 49 76 5 33 50 76 5 49 39 76 5 50 65 77 1 64 57 76 5 65 59 79"
"Nd4- Nb1a3c4- Pg2g3- Ng8h6- Pb2b4- Nb8a6- Pa2a3- Pa7a5- Pb4b5- Pc7c6- Bc1b2- Pc6b5x Pe2e3- Pg7g5- Pa3a4- Pb5a4x Ra1a4x Qd8c7- Pa4a5- Na6c5- Pa5a6- Nc5a6x Ph2h4- Na6c7- Ph4g5x Qc7a5- Pg5h6x Pb7b5- Ph6h7x Ra8b8- Ph4h5- Rb8a8- Ph5h6- Qa5a4- Ra6a8x Ra8a8- Qd1f3- Ra8a4- Ng1h3- Rh8g8- Ph5h6- Ra4a8- Ph6h5- Ra8a6- Pg3g4- Ra6h6- Nh3g1- Rh6g6- Ng1h3- Ra6a8- Rh1g1- Ra8a5- Pf2f4- Ra5a1- Qf3f6- Ra1b1$ Qf6b2- Rb1b2x Qb2b1- Rb1b2- Qb1b2x Pe7e5- Qb2b1- Pe5f4x Pe3f4x Rb2b1$ Ke1f2- Rb1b2- Qb1b2x Rb2c2$ Kf2f3- Rc2c3- Kf3e4- Rc3c2+ Ke4e3- Rc2b2+ Ke3e4- Rb2a2- Ke4d5- Ra2h2-","0","syntax","Nd4-","75 5 34 76 5 15 9 26 76 6 56 57 76 5 62 68 76 6 16 18 76 5 22 12 76 6 8 9 76 6 13 11 76 6 18 19 76 6 29 28 76 4 23 16 76 6 28 19 81 6 40 41 76 6 61 59 76 6 9 10 76 6 19 10 81 3 7 10 81 2 38 29 76 6 10 11 76 5 12 27 76 6 11 12 76 5 27 12 81 6 64 66 76 5 12 29 76 6 66 59 81 2 29 11 76 6 59 68 81 6 21 19 76 6 68 69 81 3 14 22 76 6 66 67 76 3 22 14 76 6 67 68 76 2 11 10 76 3 12 14 81 3 14 14 76 2 31 49 76 3 14 10 76 5 55 65 76 3 70 62 76 6 67 68 76 3 10 14 76 6 68 67 76 3 14 12 76 6 57 58 76 3 12 68 76 5 65 55 76 3 68 60 76 5 55 65 76 3 12 14 76 3 63 55 76 3 14 11 76 6 48 50 76 3 11 7 76 2 49 52 76 3 7 15 79 2 52 16 76 3 15 16 81 2 16 15 76 3 15 16 76 2 15 16 81 6 45 43 76 2 16 15 76 6 43 50 81 6 41 50 81 3 16 15 79 1 39 48 76 3 15 16 76 2 15 16 81 3 16 24 79 1 48 49 76 3 24 25 76 1 49 42 76 3 25 24 77 1 42 41 76 3 24 16 77 1 41 42 76 3 16 8 76 1 42 35 76 3 8 64 76"
"Pe2e4- Pa7a6- Pg2g3- Pb7b6- Bf1g2- Bc8b7- Pd2d3- Pe7e6- Pb2b3- Pf7f5- Pe4f5x Pe6f5x Ng1f3- Pc7c6- Pc2c4- Pd7d6- Pc4c5- Nb8d7- Pd3d4- Pb6b5- Bc1a3- Ng8f6- Pd4d5- Nd7c5x Nb1c3- Nc5a6- Nc3a4- Bb7a6- Na4c5- Pd6c5x Ba3c5x Pa6a5- Bc5f8x Rh8f8x Nf3h4- Ra8a7- Pf2f3- Nf6e4- Nh4f5x Pg7g6- Nf5e3- Ne4d2- Nd2b3- Qd8h4+ Ke1f1- Pg6g5- Nf3h4x Qh4f6- Nh4g6- Qf6g6x Ph2h4- Ph7g6x Ph4g5x Ph7h5- Pg5g6x Ph5h4- Qd1d2- Qg6d3- Qd2d3x Pe6e5- Pe3e4- Qd3e4$ Kf1e2- Ra7f7- Rh1g1- Qe4d3- Rg1g4- Qd3c2+ Ke2e3- Qc2c1- Qd3f5- Qc1e3$ Ke3f4- Qe3f3+ Kf4e3- Qf3g4$ Ke3d2- Qg4h4- Ra1c1- Qh4g5+","25","path obstruction","Pe2e4- Pa7a6- Pg2g3- Pb7b6- Bf1g2- Bc8b7- Pd2d3- Pe7e6- Pb2b3- Pf7f5- Pe4f5x Pe6f5x Ng1f3- Pc7c6- Pc2c4- Pd7d6- Pc4c5- Nb8d7- Pd3d4- Pb6b5- Bc1a3- Ng8f6- Pd4d5- Nd7c5x Nb1c3- Nc5a6-","75 6 40 42 76 6 13 12 76 6 56 57 76 6 21 20 76 4 47 56 76 4 30 21 76 6 32 33 76 6 45 44 76 6 16 17 76 6 53 51 76 6 42 51 81 6 44 51 81 5 55 49 76 6 29 28 76 6 24 26 76 6 37 36 76 6 26 27 76 5 22 37 76 6 33 34 76 6 20 19 76 4 23 9 76 5 62 52 76 6 34 35 76 5 37 27 81 5 15 25 76 5 27 12 76 5 25 10 76 4 21 12 76 5 10 27 76 6 36 27 81 4 9 27 81 6 12 11 76 4 27 54 81 3 70 54 81 5 49 66 76 3 14 13 76 6 48 49 76 5 52 42 76 5 66 51 81 6 61 60 76 5 51 41 76 5 42 32 76 5 32 17 76 2 38 66 77 1 39 47 76 6 60 59 76 5 49 66 81 2 66 52 76 5 66 60 76 2 52 60 81 6 64 66 76 6 69 60 81 6 66 59 81 6 69 67 76 6 59 60 81 6 67 66 76 2 31 32 76 2 60 33 76 2 32 33 81 6 44 43 76 6 41 42 76 2 33 42 79 1 47 40 76 3 13 53 76 3 63 55 76 2 42 33 76 3 55 58 76 2 33 24 77 1 40 41 76 2 24 23 76 2 33 51 76 2 23 41 79 1 41 50 76 2 41 49 77 1 50 41 76 2 49 58 79 1 41 32 76 2 58 66 76 3 7 23 76 2 66 59 77"
"Pd2d4- Pe7e5- Pc2c3- Bf8b4+ Bb4a5- Pd7d6- Ph2h4- Ng8f6- Nb1a3- Pg7g6- Ba5c3- Pc7c5- Pa2a3- Pc5d4x Ph4h5- Pd4c3x Ph5g6x Bc8f5- Pb2c3x Nb8c6- Pe2e3- Ke8g8- Bf1c4- Pd6d5- Bc4d3- Bf5d3x Bc1b2- Nc6a5- Ng1f3- Na5c4- Ke1g1- Qd8b6- Rf1e1- Rf8e8- Pc3c4x Nc4b2x Re1e8$ Ra8e8x Na3c2- Pd5c4- Pg2g4- Re8e1+ Qd1e1x Qb6b2x Ra1b1- Re1b1x Qe1b1x Qb2b1$ Kg1g2- Qb1e4+ Kg2f2- Qe4c2$ Kf2e3- Qc2b1- Qb1d1- Pd4d3x Re1d1- Qb1d1x Rd1d3x Ba5c3+ Ke3e4- Bc3e5- Ke4f3- Pa7a6- Kf3f4- Be5d6+ Kf4f3- Bd6e5- Pc4c5- Pb7b5- Pc5d6- Be5d6x Pd6d7- Pb5b4- Pa3b4x Nf6d7x Pg4g5- Nd7e5+ Kf3g4- Ne5d3x","3","pseudolegal","Pd2d4- Pe7e5- Pc2c3- Bf8b4+","75 6 32 34 76 6 45 43 76 6 24 25 76 4 54 18 77 4 18 11 76 6 37 36 76 6 64 66 76 5 62 52 76 5 15 9 76 6 61 60 76 4 11 25 76 6 29 27 76 6 8 9 76 6 27 34 81 6 66 67 76 6 34 25 81 6 67 60 81 4 30 51 76 6 16 25 81 5 22 28 76 6 40 41 76 1 46 62 76 4 47 26 76 6 36 35 76 4 26 33 76 4 51 33 81 4 23 16 76 5 28 11 76 5 55 49 76 5 11 26 76 1 39 55 76 2 38 20 76 3 47 39 76 3 54 46 76 6 25 26 81 5 26 16 81 3 39 46 79 3 14 46 81 5 9 24 76 6 35 26 76 6 56 58 76 3 46 39 77 2 31 39 81 2 20 16 81 3 7 15 76 3 39 15 81 2 39 15 81 2 16 15 79 1 55 56 76 2 15 42 77 1 56 48 76 2 42 24 79 1 48 41 76 2 24 15 76 2 15 31 76 6 34 33 81 3 39 31 76 2 15 31 81 3 31 33 81 4 11 25 77 1 41 42 76 4 25 43 76 1 42 49 76 6 13 12 76 1 49 50 76 4 43 36 77 1 50 49 76 4 36 43 76 6 26 27 76 6 21 19 76 6 27 36 76 4 43 36 81 6 36 37 76 6 19 18 76 6 9 18 81 5 52 37 81 6 58 59 76 5 37 43 77 1 49 58 76 5 43 33 81"
"Pd2d3- Pd7d5- Pe2e3- Qd8d6- Bc1d2- Ng8f6- Bd2c1- Nf6e4- Nb1c3- Ne4c3x Pb2c3x Bf8c5- Ng1f3- Ke8g8- Qd1d2- Qd6e5- Pd3d4- Pe5d4x Nf3d4x Nb8c6- Nd4f5- Pf7f6- Bf1d3- Pe7e6- Nf5d6- Nc6a5- Pa2a3- Na5c4- Nd6f5- Nc4e3x Pf2e3x Nc4d2x Ra1d1- Nd2e4- Ke1d2- Bc8f5x Pe3e4x Pd5e4x Pc3c4- Pe6e5- Rd1e1- Pf6f5x Pg2g3- Pf5e4x Pc4c5x Pb7b6- Kd2e2- Bf5h3+ Ke2d2- Rf8d8- Rh1d1- Rd8d1x Kd2d1x Ra8d8+ Kd1e2- Pb6c5x Ke2e3- Bc5e3x Ph2h4- Be3c5- Pg3g4- Rd8b8- Ph4h5- Ph7h6- Ph5h6x Pg7h6x Ke3f4- Bc5b4- Kf4g5- Ph6h5- Kg5h4- Ph5h4+ Kh4g5- Ph4h3- Rd1h1- Ph3h2- Pc2c3- Qh2h1x Kg5g4- Qh1h2-","11","path obstruction","Pd2d3- Pd7d5- Pe2e3- Qd8d6- Bc1d2- Ng8f6- Bd2c1- Nf6e4- Nb1c3- Ne4c3x Pb2c3x Bf8c5-","75 6 32 33 76 6 37 35 76 6 40 41 76 2 38 36 76 4 23 32 76 5 62 52 76 4 32 23 76 5 52 42 76 5 15 25 76 5 42 25 81 6 16 25 81 4 54 27 76 5 55 49 76 1 46 62 76 2 31 32 76 2 36 43 76 6 33 34 76 6 43 34 81 5 49 34 81 5 22 28 76 5 34 51 76 6 53 52 76 4 47 33 76 6 45 44 76 5 51 36 76 5 28 11 76 6 8 9 76 5 11 26 76 5 36 51 76 5 26 41 81 6 48 41 81 5 26 32 81 3 7 31 76 5 32 42 76 1 39 32 76 4 30 51 81 6 41 42 81 6 35 42 81 6 25 26 76 6 44 43 76 3 31 39 76 6 52 51 81 6 56 57 76 6 51 42 81 6 26 27 81 6 21 20 76 1 32 40 76 4 51 65 77 1 40 32 76 3 54 38 76 3 63 31 76 3 38 31 81 1 32 31 81 3 14 38 77 1 31 40 76 6 20 27 81 1 40 41 76 4 27 41 81 6 64 66 76 4 41 27 76 6 57 58 76 3 38 22 76 6 66 67 76 6 69 68 76 6 67 68 81 6 61 68 81 1 41 50 76 4 27 18 76 1 50 59 76 6 68 67 76 1 59 66 76 6 67 66 77 1 66 59 76 6 66 65 76 3 31 63 76 6 65 64 76 6 24 25 76 2 64 63 81 1 59 58 76 2 63 64 76"
